name,type,region,area,category
Queen Street,Street,Auckland,City Center,Street
Quay Street,Street,Auckland,City Center,Street
Mayoral Drive,Street,Auckland,City Center,Street
Shortland Street,Street,Auckland,City Center,Street
Fort Street,Street,Auckland,City Center,Street
Commerce Street,Street,Auckland,City Center,Street
Greys Avenue,Street,Auckland,City Center,Street
Karangahape Road,Street,Auckland,City Center,Street
Ponsonby Road,Street,Auckland,Ponsonby,Street
Dominion Road,Street,Auckland,Mount Eden,Street
Symonds Street,Street,Auckland,City Center,Street
Parnell Road,Street,Auckland,Parnell,Street
Newmarket Avenue,Street,Auckland,Newmarket,Street
Khyber Pass Road,Street,Auckland,Newmarket,Street
Broadway,Street,Auckland,Newmarket,Street
Remuera Road,Street,Auckland,Remuera,Street
Bastion Point Road,Street,Auckland,Orakei,Street
Takapuna Beach Road,Street,Auckland,Takapuna,Street
Lake Road,Street,Auckland,Takapuna,Street
Devonport Beach,Street,Auckland,Devonport,Street
Beach Road,Street,Auckland,Mission Bay,Street
Clive Road,Street,Auckland,Mission Bay,Street
Tamaki Drive,Street,Auckland,Mission Bay,Street
Cornwall Park Drive,Street,Auckland,Cornwall Park,Street
Mount Eden Road,Street,Auckland,Mount Eden,Street
Manukau Road,Street,Auckland,Epsom,Street
Epsom Avenue,Street,Auckland,Epsom,Street
Valley Road,Street,Auckland,Mount Eden,Street
Whitaker Place,Street,Auckland,Parnell,Street
Gladstone Road,Street,Auckland,Parnell,Street
Newmarket Shopping Centre,Shopping,Auckland,Newmarket,Shopping Center
Westfield Shopping Centre,Shopping,Auckland,Westgate,Shopping Center
The Warehouse,Retail,Auckland,City Center,Electronics & General
JB Hi-Fi,Retail,Auckland,Newmarket,Electronics
Noel Leeming,Retail,Auckland,City Center,Electronics
Countdown Supermarket,Grocery,Auckland,City Center,Supermarket
Countdown Supermarket,Grocery,Auckland,Newmarket,Supermarket
New World Supermarket,Grocery,Auckland,Ponsonby,Supermarket
Foodstuffs,Grocery,Auckland,Mount Eden,Supermarket
Pak'nSave,Grocery,Grocery,Auckland,Westgate,Supermarket
Sky Tower,Landmark,Auckland,City Center,Landmark
Auckland Domain,Landmark,Auckland,Parnell,Park
Cornwall Park,Landmark,Auckland,Mount Eden,Park
Waitemata Harbour,Landmark,Auckland,Viaduct,Natural
Queen Elizabeth Square,Landmark,Auckland,City Center,Park
Myers Park,Landmark,Auckland,Parnell,Park
Auckland War Memorial Museum,Museum,Auckland,City Center,Museum
Auckland Central Library,Library,Auckland,City Center,Library
Aotea Centre,Entertainment,Auckland,City Center,Entertainment Venue
ASB Tennis Arena,Sports,Auckland,City Center,Sports
Eden Park,Sports,Auckland,Mount Eden,Sports Stadium
The Civic,Entertainment,Auckland,City Center,Cinema
Hoyts Cinema,Entertainment,Auckland,Newmarket,Cinema
Rainforest,Entertainment,Auckland,Ponsonby,Entertainment Venue
Hilton Auckland,Hotel,Auckland,Viaduct,Hotel
Grand Hyatt Auckland,Hotel,Auckland,Viaduct,Hotel
Sofitel Auckland,Hotel,Auckland,Viaduct,Hotel
SkyCity Grand Hotel,Hotel,Auckland,City Center,Hotel
Raddisson Blu,Hotel,Auckland,Britomart,Hotel
Novotel Auckland,Hotel,Auckland,Britomart,Hotel
The Langham,Hotel,Auckland,City Center,Hotel
Crowne Plaza,Hotel,Auckland,City Center,Hotel
Pullman Auckland,Hotel,Auckland,Viaduct,Hotel
Ponsonby Central,Shopping,Auckland,Ponsonby,Shopping Center
Stanley Street,Street,Auckland,Ponsonby,Street
Eastridge Shopping Centre,Shopping,Auckland,Botany,Shopping Center
Westfield Downtown,Shopping,Auckland,City Center,Shopping Center
Pacific Fair,Shopping,Auckland,Botany,Shopping Center
Sylvia Park,Shopping,Auckland,Mount Wellington,Shopping Center
Manukau Centre,Shopping,Auckland,Manukau,Shopping Center
Albany Shopping Centre,Shopping,Auckland,Albany,Shopping Center
Farmers,Retail,Auckland,City Center,Department Store
Rebel Sport,Retail,Auckland,Newmarket,Sports Retail
Kathmandu,Retail,Auckland,Newmarket,Outdoor Gear
Mecca,Retail,Auckland,Newmarket,Beauty & Cosmetics
Nike Store,Retail,Auckland,Newmarket,Sports Retail
Adidas Store,Retail,Auckland,Newmarket,Sports Retail
Cotton On,Retail,Auckland,Westfield,Fashion
H&M,Retail,Auckland,Westfield,Fashion
Zara,Retail,Auckland,Newmarket,Fashion
Country Road,Retail,Auckland,Newmarket,Fashion
